cod_municipal,descripcion,municipio,cod_provincia
380014,Abra Pampa,Municipio Abra Pampa,AR-Y
380105,Humahuaca,Municipio Humahuaca,AR-Y
380091,El Aguilar,Municipio El Aguilar,AR-Y
380147,Yuto,Municipio Yuto,AR-Y
380126,Calilegua,Municipio Calilegua,AR-Y
380140,Libertador General San Martín,Municipio Libertador General San Martín,AR-Y
380133,Fraile Pintado,Municipio Fraile Pintado,AR-Y
380154,Palpalá,Municipio Palpalá,AR-Y
380035,San Salvador de Jujuy,Municipio San Salvador de Jujuy,AR-Y
380196,La Esperanza,Municipio La Esperanza,AR-Y
380252,Santa Clara,Municipio Santa Clara,AR-Y
380203,La Mendieta,Municipio La Mendieta,AR-Y
380056,El Carmen,Municipio El Carmen,AR-Y
380077,Perico,Municipio Perico,AR-Y
660084,La Merced,Municipio La Merced,AR-A
660035,Las Lajitas,Municipio Las Lajitas,AR-A
660252,Tolar Grande,Municipio Tolar Grande,AR-A
660056,Cafayate,Municipio Cafayate,AR-A
660077,Cerrillos,Municipio Cerrillos,AR-A
660133,Embarcación,Municipio Embarcación,AR-A
660280,Río Piedras,Municipio Río Piedras,AR-A
660119,General Güemes,Municipio General Güemes,AR-A
660343,Santa Victoria Este,Municipio Santa Victoria Este,AR-A
660364,Campo Quijano,Municipio Campo Quijano,AR-A
660378,Angastaco,Municipio Angastaco,AR-A
660126,Aguaray,Municipio Aguaray,AR-A
660413,Santa Victoria Oeste,Municipio Santa Victoria Oeste,AR-A
660406,Nazareno,Municipio Nazareno,AR-A
660168,Guachipas,Municipio Guachipas,AR-A
660266,Metán,Municipio Metán,AR-A
660315,San Ramón de la Nueva Orán,Municipio San Ramón de la Nueva Orán,AR-A
660007,Apolinario Saravia,Municipio Apolinario Saravia,AR-A
660147,General Mosconi,Municipio General Mosconi,AR-A
660399,Los Toldos,Municipio Los Toldos,AR-A
660231,Coronel Moldes,Municipio Coronel Moldes,AR-A
660308,Pichanal,Municipio Pichanal,AR-A
660028,Joaquín V. González,Municipio Joaquín V. González,AR-A
60056,Bahía Blanca,Municipio Bahía Blanca,AR-B
100063,Belén,Municipio Belén,AR-K
100077,Hualfín,Municipio Hualfín,AR-K
660042,Cachi,Municipio Cachi,AR-A
660203,El Jardín,Municipio El Jardín,AR-A
660245,San Antonio de los Cobres,Municipio San Antonio de los Cobres,AR-A
660273,Molinos,Municipio Molinos,AR-A
100091,Pozo de Piedra,Municipio Pozo de Piedra,AR-K
100112,San Fernando,Municipio San Fernando,AR-K
100203,San José,Municipio San José,AR-K
100210,Santa María,Municipio Santa María,AR-K
100042,Aconquija,Municipio Aconquija,AR-K
100049,Andalgalá,Municipio Andalgalá,AR-K
100196,Saujil,Municipio Saujil,AR-K
100189,Pomán,Municipio Pomán,AR-K
100185,Mutquín,Municipio Mutquín,AR-K
100140,San Fernando del Valle de Catamarca,Municipio San Fernando del Valle de Catamarca,AR-K
100182,Paclín,Municipio Paclín,AR-K
60280,General Alvarado,Municipio General Alvarado,AR-B
460077,General Lamadrid,Municipio General Lamadrid,AR-F
460098,Vinchina,Municipio Vinchina,AR-F
460028,Coronel Felipe Varela,Municipio Coronel Felipe Varela,AR-F
460021,Castro Barros,Municipio Castro Barros,AR-F
700049,Iglesia,Municipio Iglesia,AR-J
700119,Valle Fértil,Municipio Valle Fértil,AR-J
700112,Ullum,Municipio Ullum,AR-J
700007,Albardón,Municipio Albardón,AR-J
700133,Zonda,Municipio Zonda,AR-J
500014,General Alvear,Municipio General Alvear,AR-M
500105,San Rafael,Municipio San Rafael,AR-M
700098,Santa Lucía,Municipio Santa Lucía,AR-J
700077,Rawson,Municipio Rawson,AR-J
700056,Jáchal,Municipio Jáchal,AR-J
700021,Calingasta,Municipio Calingasta,AR-J
700126,25 de Mayo,Municipio 25 de Mayo,AR-J
60357,General Pueyrredón,Municipio General Pueyrredón,AR-B
60518,Mar Chiquita,Municipio Mar Chiquita,AR-B
700028,San Juan,Municipio San Juan,AR-J
500084,Rivadavia,Municipio Rivadavia,AR-M
500091,San Carlos,Municipio San Carlos,AR-M
500119,Tunuyán,Municipio Tunuyán,AR-M
500063,Luján de Cuyo,Municipio Luján de Cuyo,AR-M
500049,Las Heras,Municipio Las Heras,AR-M
500056,Lavalle,Municipio Lavalle,AR-M
500077,Malargüe,Municipio Malargüe,AR-M
500007,Capital,Municipio Capital,AR-M
580210,Rincón de los Sauces,Municipio Rincón de los Sauces,AR-Q
580203,Buta Ranquil,Municipio Buta Ranquil,AR-Q
580238,Mariano Moreno,Municipio Mariano Moreno,AR-Q
580112,Junín de los Andes,Municipio Junín de los Andes,AR-Q
580007,Aluminé,Municipio Aluminé,AR-Q
580056,Neuquén,Municipio Neuquén,AR-Q
580042,Centenario,Municipio Centenario,AR-Q
60644,Pinamar,Municipio Pinamar,AR-B
580049,Cutral Có,Municipio Cutral Có,AR-Q
580063,Plaza Huincul,Municipio Plaza Huincul,AR-Q
580217,Picún Leufú,Municipio Picún Leufú,AR-Q
580028,Las Coloradas,Municipio Las Coloradas,AR-Q
580161,Los Miches,Municipio Los Miches,AR-Q
580182,El Huecú,Municipio El Huecú,AR-Q
580126,Loncopué,Municipio Loncopué,AR-Q
580105,Tricao Malal,Municipio Tricao Malal,AR-Q
220042,Isla del Cerrito,Municipio Isla del Cerrito,AR-H
580147,Huinganco,Municipio Huinganco,AR-Q
580119,San Martín de los Andes,Municipio San Martín de los Andes,AR-Q
220308,Coronel Du Graty,Municipio Coronel Du Graty,AR-H
220420,Samuhú,Municipio Samuhú,AR-H
220392,Basail,Municipio Basail,AR-H
220406,Puerto Vilelas,Municipio Puerto Vilelas,AR-H
220385,Barranqueras,Municipio Barranqueras,AR-H
220098,General Capdevila,Municipio General Capdevila,AR-H
60505,Magdalena,Municipio Magdalena,AR-B
60861,Vicente López,Municipio Vicente López,AR-B
